Source Title,Source Year,Definitions Content,Typologies Content,Clinical Content,Regulatory Content
"[56] Engdahl et al., 2020. Differential experiences of embodiment between body-powered and myoelectric prosthesis users."
"[57] Evidence Note Differences in Myoelectric and Body-Powered Upper Limb Prostheses, 2014."
"[58] Yu et al., 2021. Clinical evaluation of the revolutionizing prosthetics modular prosthetic limb system for upper extremity amputees."
"[59] Casolo, 2010. Elbow Prosthesis for Partial or Total Upper Limb Replacements."
"[60] Carey, 2015. JRRD at a Glance vii Differences in myoelectric and body-powered upper-limb prostheses : Systematic literature review."
"[61] Davis & Onge, 2017. Myoelectric and Body-Powered Upper-Limb Prostheses: The Users’ Perspective."
"[62] Chan et al., 2017. Cost of Ownership of Upper Limb Prostheses: A Retrospective Analysis."
"[63] Myoelectric Prosthetic Components for the Upper Limb Policy, 2013."
"[64] Drerup et al., 2010. ACCEPTANCE OF UPPER LIMB PROSTHESES."
"[65] Kyberd et al., 2016. Upper limb control options for externally powered components."
"[66] Meurs et al., 2006. Prescription of the First Prosthesis and Later use in Children with Congenital Unilateral Upper Limb Deficiency: A Systematic Review."
"[67] Passero, 2014. Devising the prosthetic prescription and typical examples."
"[68] Demir, 2023. Upper limb prosthetic prescription."
"[69] Capsi-Morales et al., 2023. Functional assessment of current upper limb prostheses: An integrated clinical and technological perspective."
"[70] Hill et al., 2009. Functional Outcomes in the WHO-ICF Model: Establishment of the Upper Limb Prosthetic Outcome Measures Group."
"[71] Wright, 2009. Prosthetic Outcome Measures for Use With Upper Limb Amputees: A Systematic Review of the Peer-Reviewed Literature, 1970 to 2009."
"[72] Wang et al., 2018. Evaluation of Performance‐Based Outcome Measures for the Upper Limb: A Comprehensive Narrative Review."
"[73] Lindner et al., 2010. Upper Limb Prosthetic Outcome Measures: Review and Content Comparison Based on International Classification of Functioning, Disability and Health."
"[74] Melton, 2017. Physiatrist Perspective on Upper-Limb Prosthetic Options: Using Practice Guidelines to Promote Patient Education in the Selection and the Prescription Process."
"[75] Ostlie et al., 2011. Assessing physical function in adult acquired major upper-limb amputees by combining the Disabilities of the Arm, Shoulder and Hand (DASH) Outcome Questionnaire and clinical examination."
"[76] Hubbard, 2009. Pediatric Upper Limb Outcome Measurement."
"[77] Zhang et al., 2021. Factors influencing perceived function in the upper limb prosthesis user population."
"[78] Burger et al., 2008. Validation of the orthotics and prosthetics user survey upper extremity functional status module in people with unilateral upper limb amputation."
"[79] Nelson et al., 2006. Limb deficiency and prosthetic management. 1. Decision making in prosthetic prescription and management."
"[80] Kenney et al., 2020. Methods for clinical evaluation."
"[81] Resnik et al., 2020. Dexterity, activity performance, disability, quality of life, and independence in upper limb Veteran prosthesis users: a normative study."
"[82] Lindner, 2013. The Assessment of Capacity for Myoelectric Control : Psychometric evidence and comparison with upper limb prosthetic outcome measures."
